Loading solver states for value-error benchmarking...
Run 'catchup': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=None
iter   49/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer_x=5186, buffer_o=4503, x_frozen=False, gap=-0.0945, value_loss_o=0.2994, policy_loss_o=0.9798, value_error_vs_solver=0.6020 (X=0.6493, O=0.5548), elapsed=5.7s
iter   50/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer_x=5278, buffer_o=4577, x_frozen=False, gap=-0.0735, value_loss_o=0.2959, policy_loss_o=0.9840, value_error_vs_solver=0.5495 (X=0.5862, O=0.5127), elapsed=4.7s
iter   51/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer_x=5362, buffer_o=4642, x_frozen=True, gap=0.1169, value_loss_o=0.2924, policy_loss_o=0.9875, value_error_vs_solver=0.5904 (X=0.5320, O=0.6489), elapsed=3.6s
iter   52/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer_x=5439, buffer_o=4701, x_frozen=False, gap=-0.0488, value_loss_o=0.2915, policy_loss_o=0.9918, value_error_vs_solver=0.5776 (X=0.6020, O=0.5533), elapsed=3.7s
iter   53/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer_x=5529, buffer_o=4774, x_frozen=True, gap=0.0830, value_loss_o=0.2889, policy_loss_o=0.9908, value_error_vs_solver=0.5646 (X=0.5231, O=0.6061), elapsed=4.4s
iter   54/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer_x=5612, buffer_o=4838, x_frozen=False, gap=-0.0915, value_loss_o=0.2844, policy_loss_o=0.9917, value_error_vs_solver=0.6030 (X=0.6487, O=0.5572), elapsed=3.7s
iter   55/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=5699, buffer_o=4906, x_frozen=False, gap=-0.0263, value_loss_o=0.2799, policy_loss_o=0.9945, value_error_vs_solver=0.4809 (X=0.4940, O=0.4677), elapsed=3.7s
iter   56/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=5784, buffer_o=4971, x_frozen=False, gap=-0.1103, value_loss_o=0.2812, policy_loss_o=0.9954, value_error_vs_solver=0.5813 (X=0.6364, O=0.5261), elapsed=3.9s
iter   57/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=5852, buffer_o=5019, x_frozen=False, gap=-0.0517, value_loss_o=0.2741, policy_loss_o=1.0011, value_error_vs_solver=0.5481 (X=0.5739, O=0.5222), elapsed=3.1s
iter   58/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer_x=5927, buffer_o=5075, x_frozen=False, gap=0.0234, value_loss_o=0.2723, policy_loss_o=1.0029, value_error_vs_solver=0.5610 (X=0.5493, O=0.5727), elapsed=3.1s
iter   59/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer_x=6011, buffer_o=5141, x_frozen=False, gap=-0.0935, value_loss_o=0.2742, policy_loss_o=1.0087, value_error_vs_solver=0.5080 (X=0.5547, O=0.4612), elapsed=4.3s
iter   60/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer_x=6093, buffer_o=5204, x_frozen=False, gap=-0.1217, value_loss_o=0.2659, policy_loss_o=1.0115, value_error_vs_solver=0.5853 (X=0.6462, O=0.5245), elapsed=3.5s
iter   61/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer_x=6168, buffer_o=5260, x_frozen=False, gap=-0.0068, value_loss_o=0.2667, policy_loss_o=1.0106, value_error_vs_solver=0.5031 (X=0.5065, O=0.4997), elapsed=3.0s
iter   62/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=6255, buffer_o=5328, x_frozen=False, gap=-0.0999, value_loss_o=0.2600, policy_loss_o=1.0182, value_error_vs_solver=0.5584 (X=0.6084, O=0.5085), elapsed=5.4s
