Loading solver states for value-error benchmarking...
iter  124/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0767, policy_loss=0.7701, value_error_vs_solver=0.3672, elapsed=3.0s
iter  125/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer=8000, value_loss=0.0746, policy_loss=0.7708, value_error_vs_solver=0.3831, elapsed=3.2s
iter  126/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0822, policy_loss=0.7718, value_error_vs_solver=0.3569, elapsed=2.8s
iter  127/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.0793, policy_loss=0.7750, value_error_vs_solver=0.4227, elapsed=3.2s
iter  128/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.0772, policy_loss=0.7763, value_error_vs_solver=0.3608, elapsed=2.8s
iter  129/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.0860, policy_loss=0.7917, value_error_vs_solver=0.4153, elapsed=3.0s
iter  130/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=8000, value_loss=0.0839, policy_loss=0.7847, value_error_vs_solver=0.3916, elapsed=3.0s
iter  131/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.0878, policy_loss=0.7951, value_error_vs_solver=0.3827, elapsed=3.9s
iter  132/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.0882, policy_loss=0.7936, value_error_vs_solver=0.3527, elapsed=3.0s
iter  133/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0920, policy_loss=0.7914, value_error_vs_solver=0.3817, elapsed=2.9s
iter  134/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0869, policy_loss=0.7926, value_error_vs_solver=0.3709, elapsed=3.1s
iter  135/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.0942, policy_loss=0.8051, value_error_vs_solver=0.3658, elapsed=3.1s
iter  136/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0862, policy_loss=0.7947, value_error_vs_solver=0.4055, elapsed=3.3s
iter  137/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0866, policy_loss=0.7904, value_error_vs_solver=0.4115, elapsed=2.7s
iter  138/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=8000, value_loss=0.0883, policy_loss=0.7921, value_error_vs_solver=0.4177, elapsed=3.2s
iter  139/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.0846, policy_loss=0.7930, value_error_vs_solver=0.3694, elapsed=3.6s
iter  140/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0849, policy_loss=0.7898, value_error_vs_solver=0.4235, elapsed=3.1s
iter  141/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.0763, policy_loss=0.7949, value_error_vs_solver=0.3809, elapsed=2.9s
iter  142/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.0817, policy_loss=0.7998, value_error_vs_solver=0.3936, elapsed=3.2s
iter  143/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0850, policy_loss=0.7915, value_error_vs_solver=0.3779, elapsed=3.4s
iter  144/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.0775, policy_loss=0.8034, value_error_vs_solver=0.4045, elapsed=3.3s
iter  145/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0830, policy_loss=0.7967, value_error_vs_solver=0.3937, elapsed=3.3s
iter  146/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0794, policy_loss=0.8052, value_error_vs_solver=0.3762, elapsed=2.7s
iter  147/300: games={'X': 15, 'O': 3, 'draw': 2}, buffer=8000, value_loss=0.0859, policy_loss=0.7958, value_error_vs_solver=0.4068, elapsed=3.5s
iter  148/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0786, policy_loss=0.7967, value_error_vs_solver=0.4039, elapsed=2.2s
iter  149/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0828, policy_loss=0.7990, value_error_vs_solver=0.3785, elapsed=2.2s
iter  150/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0783, policy_loss=0.8007, value_error_vs_solver=0.3773, elapsed=2.5s
iter  151/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.0822, policy_loss=0.8141, value_error_vs_solver=0.3742, elapsed=2.4s
iter  152/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0775, policy_loss=0.7987, value_error_vs_solver=0.3723, elapsed=1.8s
iter  153/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer=8000, value_loss=0.0676, policy_loss=0.7918, value_error_vs_solver=0.4321, elapsed=2.5s
iter  154/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.0648, policy_loss=0.7931, value_error_vs_solver=0.3341, elapsed=2.5s
iter  155/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.0694, policy_loss=0.8166, value_error_vs_solver=0.4418, elapsed=2.1s
iter  156/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0727, policy_loss=0.8165, value_error_vs_solver=0.3926, elapsed=1.9s
iter  157/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0708, policy_loss=0.8098, value_error_vs_solver=0.3994, elapsed=2.9s
iter  158/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.0722, policy_loss=0.8173, value_error_vs_solver=0.4022, elapsed=2.3s
iter  159/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0664, policy_loss=0.8139, value_error_vs_solver=0.3944, elapsed=2.3s
iter  160/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.0700, policy_loss=0.8124, value_error_vs_solver=0.4048, elapsed=2.1s
iter  161/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.0703, policy_loss=0.8174, value_error_vs_solver=0.3851, elapsed=1.8s
iter  162/300: games={'X': 16, 'O': 0, 'draw': 4}, buffer=8000, value_loss=0.0707, policy_loss=0.8064, value_error_vs_solver=0.3381, elapsed=2.7s
iter  163/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.0623, policy_loss=0.8059, value_error_vs_solver=0.4075, elapsed=2.0s
iter  164/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer=8000, value_loss=0.0646, policy_loss=0.8059, value_error_vs_solver=0.4085, elapsed=3.1s
iter  165/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.0664, policy_loss=0.7982, value_error_vs_solver=0.4721, elapsed=1.9s
