Loading solver states for value-error benchmarking...
Run 'twonet': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=None
iter   56/300: games={'X': 11, 'O': 2, 'draw': 7}, buffer_x=6774, buffer_o=6001, value_loss=0.2679, policy_loss=0.7152, value_error_vs_solver=0.5517 (X=0.4904, O=0.6131), elapsed=7.2s
iter   57/300: games={'X': 13, 'O': 3, 'draw': 4}, buffer_x=6867, buffer_o=6079, value_loss=0.2664, policy_loss=0.7151, value_error_vs_solver=0.5630 (X=0.5352, O=0.5908), elapsed=5.8s
iter   58/300: games={'X': 16, 'O': 0, 'draw': 4}, buffer_x=6968, buffer_o=6162, value_loss=0.2624, policy_loss=0.7135, value_error_vs_solver=0.6005 (X=0.6057, O=0.5953), elapsed=6.2s
iter   59/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer_x=7065, buffer_o=6241, value_loss=0.2612, policy_loss=0.7126, value_error_vs_solver=0.5853 (X=0.6190, O=0.5516), elapsed=5.1s
iter   60/300: games={'X': 13, 'O': 2, 'draw': 5}, buffer_x=7161, buffer_o=6320, value_loss=0.2615, policy_loss=0.7098, value_error_vs_solver=0.6124 (X=0.6048, O=0.6200), elapsed=6.0s
iter   61/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer_x=7250, buffer_o=6393, value_loss=0.2593, policy_loss=0.7082, value_error_vs_solver=0.5720 (X=0.5527, O=0.5913), elapsed=5.3s
iter   62/300: games={'X': 16, 'O': 0, 'draw': 4}, buffer_x=7351, buffer_o=6477, value_loss=0.2583, policy_loss=0.7076, value_error_vs_solver=0.5623 (X=0.5296, O=0.5950), elapsed=6.1s
iter   63/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=7434, buffer_o=6540, value_loss=0.2569, policy_loss=0.7076, value_error_vs_solver=0.5921 (X=0.6005, O=0.5838), elapsed=4.5s
iter   64/300: games={'X': 15, 'O': 1, 'draw': 4}, buffer_x=7537, buffer_o=6624, value_loss=0.2546, policy_loss=0.7051, value_error_vs_solver=0.5848 (X=0.5645, O=0.6051), elapsed=6.6s
iter   65/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer_x=7632, buffer_o=6701, value_loss=0.2552, policy_loss=0.7033, value_error_vs_solver=0.5730 (X=0.5602, O=0.5858), elapsed=5.2s
iter   66/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer_x=7719, buffer_o=6769, value_loss=0.2539, policy_loss=0.7028, value_error_vs_solver=0.5119 (X=0.5029, O=0.5209), elapsed=4.7s
iter   67/300: games={'X': 16, 'O': 0, 'draw': 4}, buffer_x=7826, buffer_o=6857, value_loss=0.2508, policy_loss=0.6983, value_error_vs_solver=0.5727 (X=0.6032, O=0.5421), elapsed=6.9s
iter   68/300: games={'X': 15, 'O': 1, 'draw': 4}, buffer_x=7933, buffer_o=6945, value_loss=0.2484, policy_loss=0.6999, value_error_vs_solver=0.5865 (X=0.6171, O=0.5559), elapsed=6.9s
iter   69/300: games={'X': 15, 'O': 0, 'draw': 5}, buffer_x=8000, buffer_o=7037, value_loss=0.2448, policy_loss=0.6943, value_error_vs_solver=0.5480 (X=0.5381, O=0.5579), elapsed=6.2s
iter   70/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer_x=8000, buffer_o=7109, value_loss=0.2427, policy_loss=0.6878, value_error_vs_solver=0.5257 (X=0.4741, O=0.5774), elapsed=5.3s
iter   71/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer_x=8000, buffer_o=7181, value_loss=0.2394, policy_loss=0.6833, value_error_vs_solver=0.5480 (X=0.5810, O=0.5150), elapsed=6.2s
iter   72/300: games={'X': 17, 'O': 0, 'draw': 3}, buffer_x=8000, buffer_o=7264, value_loss=0.2349, policy_loss=0.6758, value_error_vs_solver=0.5582 (X=0.5570, O=0.5593), elapsed=6.7s
iter   73/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer_x=8000, buffer_o=7340, value_loss=0.2293, policy_loss=0.6696, value_error_vs_solver=0.5164 (X=0.4708, O=0.5619), elapsed=5.2s
iter   74/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer_x=8000, buffer_o=7420, value_loss=0.2262, policy_loss=0.6645, value_error_vs_solver=0.5169 (X=0.5000, O=0.5337), elapsed=5.5s
