Loading solver states for value-error benchmarking...
Run 'exploration': iterations=300, temperature_moves=20, noise_frac=0.4, teacher_side=None
iter  127/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer=8000, value_loss=0.1788, policy_loss=0.8833, value_error_vs_solver=0.3423 (X=0.4404, O=0.4380), elapsed=3.3s
iter  128/300: games={'X': 18, 'O': 2, 'draw': 0}, buffer=8000, value_loss=0.1946, policy_loss=0.8868, value_error_vs_solver=0.4106 (X=0.4194, O=0.4027), elapsed=3.1s
iter  129/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer=8000, value_loss=0.1823, policy_loss=0.8969, value_error_vs_solver=0.4543 (X=0.3827, O=0.3377), elapsed=3.8s
iter  130/300: games={'X': 16, 'O': 1, 'draw': 3}, buffer=8000, value_loss=0.1840, policy_loss=0.8919, value_error_vs_solver=0.4284 (X=0.3953, O=0.4086), elapsed=4.0s
iter  131/300: games={'X': 17, 'O': 3, 'draw': 0}, buffer=8000, value_loss=0.1884, policy_loss=0.8967, value_error_vs_solver=0.3870 (X=0.4015, O=0.3518), elapsed=3.0s
iter  132/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.1925, policy_loss=0.9012, value_error_vs_solver=0.4066 (X=0.4852, O=0.4259), elapsed=3.0s
iter  133/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.1895, policy_loss=0.9005, value_error_vs_solver=0.4389 (X=0.3378, O=0.4584), elapsed=2.5s
iter  134/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer=8000, value_loss=0.1841, policy_loss=0.9017, value_error_vs_solver=0.3963 (X=0.4450, O=0.3359), elapsed=3.0s
iter  135/300: games={'X': 15, 'O': 2, 'draw': 3}, buffer=8000, value_loss=0.1899, policy_loss=0.8992, value_error_vs_solver=0.4545 (X=0.4381, O=0.4440), elapsed=5.7s
iter  136/300: games={'X': 17, 'O': 3, 'draw': 0}, buffer=8000, value_loss=0.1867, policy_loss=0.8941, value_error_vs_solver=0.4058 (X=0.4202, O=0.3716), elapsed=2.6s
iter  137/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.1991, policy_loss=0.8981, value_error_vs_solver=0.4576 (X=0.4148, O=0.4210), elapsed=3.1s
iter  138/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer=8000, value_loss=0.1903, policy_loss=0.9005, value_error_vs_solver=0.4183 (X=0.3953, O=0.3654), elapsed=3.2s
iter  139/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer=8000, value_loss=0.1937, policy_loss=0.9054, value_error_vs_solver=0.4545 (X=0.3952, O=0.4014), elapsed=3.0s
